Nr.  Nume                           An Grupa Tip zi.luna.an min:ora min:ora
6884 Andreea-77                     1  1012  L   05.11.2006 11:59   13:13 
7707 Claudiu-5                      2  1038  L   29.11.2006 18:59   21:52 
2913 Tiberiu-73                     2  1028  B   23.12.2005 12:30   13:05 
8576 Ruxandra-91                    4  1076  L   26.11.2007 14:13   15:21 
7060 Gabriela-58                    3  1049  L   28.01.2007 10:00   11:14 
4264 Mircea-82                      3  1059  L   04.12.2006 09:49   10:52 
9837 Ioana-92                       3  1049  L   14.05.2007 16:02   16:35 
5797 Tudor-45                       2  1021  B   03.05.2009 11:41   12:20 
5478 Gabriel-47                     4  1062  L   24.04.2006 17:32   19:13 
1598 Dalia-90                       3  1055  B   22.04.2010 12:17   14:02 
2133 Anda-4                         3  1048  B   16.01.2009 16:14   17:14 
9381 Kamiana-49                     3  1041  B   18.09.2010 18:28   19:03 
6933 Adina-95                       2  1034  L   25.07.2008 07:47   09:13 
6330 Suzana-55                      1  1005  B   06.10.2010 19:58   21:00 
7107 Bogdana-53                     2  1031  B   07.10.2005 08:18   10:11 
9928 Petre-32                       2  1038  B   31.01.2005 16:05   17:53 
8613 Kamiana-70                     2  1037  B   14.01.2009 07:30   08:43 
9403 Camelia-16                     4  1061  L   28.05.2005 08:44   10:22 
4476 Ionela-38                      4  1067  B   21.09.2009 18:35   19:41 
4026 Andreea-94                     3  1042  B   18.12.2011 14:09   15:49 
6590 Liana-81                       4  1067  B   23.01.2006 13:16   14:15 
2778 Tudor-71                       5  1089  B   25.12.2005 15:45   16:51 
3093 Suzana-62                      5  1092  B   19.10.2011 09:27   11:13 
2209 Ciprian-74                     1  1016  L   22.01.2011 20:01   21:00 
1829 Liana-51                       4  1073  L   05.03.2010 11:36   13:20 
2758 Alin-89                        2  1034  B   19.12.2007 08:46   09:33 
6831 Loredana-94                    1  1015  B   18.02.2011 08:42   10:24 
4585 Robert-88                      2  1021  L   31.09.2011 12:39   13:19 
6577 Eliza-33                       3  1047  B   18.06.2006 07:52   09:13 
3164 Laurentiu-96                   1  1004  B   06.05.2008 08:08   09:22 
7685 Suzana-54                      4  1068  L   24.12.2006 07:53   09:17 
4600 Tudor-81                       2  1021  L   07.03.2011 09:57   10:28 
2463 Bogdana-95                     1  1018  L   08.03.2008 15:02   16:16 
2065 Ioana-25                       2  1025  B   17.02.2005 07:52   09:00 
4697 Petre-79                       1  1002  B   29.05.2008 12:55   14:18 
4925 Laurentiu-93                   1  1012  B   06.12.2007 12:54   13:29 
4144 Bogdan-62                      4  1071  L   02.12.2005 11:35   12:53 
7300 Sorina-44                      5  1094  B   24.01.2006 15:28   16:02 
6796 Ancuta-86                      1  1007  L   18.05.2011 12:29   13:28 
6913 Mihaela-76                     1  1001  B   27.07.2008 19:28   20:23 
8864 Ionut-40                       2  1031  L   22.08.2010 14:27   15:53 
2496 Estera-34                      5  1089  L   30.05.2010 16:41   18:28 
9157 Alexandru-80                   2  1031  L   10.11.2011 13:04   13:57 
2608 Cristina-70                    4  1066  L   08.06.2011 08:50   09:56 
3751 Bianca-27                      2  1026  L   27.05.2010 16:14   16:50 
3811 Eliza-35                       2  1026  L   12.06.2006 16:03   17:42 
9149 Ancuta-24                      1  1014  B   20.01.2009 10:44   11:36 
2774 Ion-84                         5  1083  B   12.09.2005 10:50   11:36 
9204 Tiberiu-25                     4  1070  B   26.07.2010 10:38   11:56 
9112 Florentina-43                  4  1073  L   03.02.2008 11:11   12:26 
6491 Laurentiu-31                   5  1093  L   27.03.2005 09:16   10:01 
3910 Liviu-71                       5  1090  B   02.09.2010 18:03   18:41 
6209 Liviu-45                       2  1028  L   06.02.2011 11:26   12:50 
5817 Ciprian-66                     1  1001  L   17.03.2008 12:53   13:45 
8698 Marinela-81                    2  1027  L   01.02.2007 19:26   21:00 
8714 Florin-50                      2  1027  B   18.05.2006 11:40   13:12 
4933 Suzana-44                      5  1094  B   31.12.2007 15:45   16:19 
1109 Cristian-20                    1  1018  L   17.11.2005 07:57   09:25 
4404 Nicolae-33                     2  1026  L   01.04.2011 19:36   21:00 
2983 Sorina-66                      4  1061  B   09.04.2007 14:26   16:08 
3438 Rodica-69                      4  1067  B   07.11.2007 12:09   13:58 
6744 Ioana-87                       3  1046  B   01.11.2008 15:35   16:21 
6673 Eliza-25                       1  1019  L   19.06.2005 20:03   21:00 
3389 Cristina-53                    3  1043  L   28.08.2009 12:40   14:30 
3852 Elena-52                       1  1014  L   13.12.2011 10:12   11:19 
5186 Estera-5                       2  1028  L   21.12.2005 17:39   19:00 
2878 Alexandru-40                   5  1084  L   10.03.2011 16:14   18:01 
7129 Bogdan-62                      3  1050  L   22.04.2005 12:00   13:19 
5856 Tiberiu-30                     1  1008  B   29.11.2009 09:57   10:40 
9256 Marian-99                      4  1063  B   13.11.2007 17:19   18:50 
